No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log-likelihood value
324	responsio	969	3.514	11	4	10.19
325	philosophus1	217	0.787	5	5	10.147
326	nouem	997	3.616	11	9	9.763
327	quot	1014	3.678	11	11	9.513
328	recenseo	341	1.237	6	5	9.492
329	diuersus	6111	22.164	38	33	9.346
330	aduersus3	2204	7.994	18	4	9.257
331	expando2	351	1.273	6	3	9.215
332	impono	2579	9.354	20	10	9.152
333	pando1	479	1.737	7	6	9.043
334	repetitio	249	0.903	5	4	8.988
335	comburo	614	2.227	8	6	8.97
336	historicus1	253	0.918	5	5	8.856
337	legens	492	1.784	7	7	8.76
338	penuria	258	0.936	5	4	8.695
339	uulgo2	258	0.936	5	4	8.695
340	32	260	0.943	5	3	8.631
341	multoties	261	0.947	5	3	8.6
342	inuentio	266	0.965	5	5	8.445
343	euangelicus	1607	5.828	14	12	8.236
344	apertus	1441	5.226	13	11	8.188
345	quattuordecim	277	1.005	5	4	8.116
346	diuisio	1294	4.693	12	7	7.96
347	flagito	402	1.458	6	5	7.944
348	quidam	24360	88.35	116	78	7.912
349	manifestus	4330	15.704	28	23	7.829
350	nusquam	679	2.463	8	7	7.823
351	nouus	9489	34.415	52	38	7.793
352	12	2009	7.286	16	14	7.783
353	editio	686	2.488	8	7	7.708
354	papa	6029	21.866	36	28	7.666
355	quotienscumque	293	1.063	5	5	7.665
356	supradictus	1329	4.82	12	11	7.571
357	anterior	306	1.11	5	5	7.322
358	paucus	3823	13.866	25	17	7.239
359	centum	1544	5.6	13	11	7.133
360	clemens	1039	3.768	10	9	7.094
361	integer	2659	9.644	19	17	7.091
362	relego1	443	1.607	6	6	7.068
363	hymnus	1043	3.783	10	8	7.046
364	omitto	893	3.239	9	8	6.912
365	breuitas	454	1.647	6	6	6.852
366	constitutio	1241	4.501	11	9	6.696
367	egregius	1265	4.588	11	11	6.447
368	contemptor	343	1.244	5	2	6.441
369	latinus	937	3.398	9	9	6.361
370	laqueus	1113	4.037	10	10	6.249
371	complecto	487	1.766	6	4	6.244
372	numero1	789	2.862	8	8	6.206
373	figurate	355	1.288	5	3	6.182
374	en	491	1.781	6	5	6.175
375	narratio	638	2.314	7	7	6.16
376	uirginitas	798	2.894	8	5	6.089
377	solido	365	1.324	5	3	5.974
378	predictus	5771	20.931	33	26	5.938
379	pluralis	369	1.338	5	4	5.894
380	15	1323	4.798	11	8	5.878
381	plurimus	4294	15.574	26	24	5.825
382	agon	514	1.864	6	5	5.789
383	decalogus	377	1.367	5	4	5.736
384	partio1	380	1.378	5	5	5.678
385	frequenter	1528	5.542	12	11	5.654
386	scruto	677	2.455	7	7	5.608
387	26	385	1.396	5	4	5.583
388	prudenter	530	1.922	6	5	5.536
389	miracula	1918	6.956	14	9	5.523
390	inchoo	1018	3.692	9	8	5.451
391	copiosus	696	2.524	7	5	5.357
392	subdiaconus	405	1.469	5	3	5.218
393	plaga1	1777	6.445	13	13	5.158
394	collectio	423	1.534	5	5	4.911
