No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio value
198	uiginti	2038	7.392	32	18	2.132
199	rex	31400	113.883	492	122	2.129
200	canonica1	512	1.857	8	6	2.125
201	eruditus1	644	2.336	10	9	2.115
202	breuiter	1231	4.465	19	16	2.107
203	de	136672	495.689	2086	342	2.09
204	3	4170	15.124	63	36	2.075
205	sapientia	8726	31.648	131	78	2.066
206	flagito	402	1.458	6	5	2.057
207	pando1	479	1.737	7	6	2.027
208	psalterium	548	1.988	8	8	2.025
209	reperio	3975	14.417	58	41	2.024
210	heresis	1462	5.303	21	12	2.001
211	legens	492	1.784	7	7	1.987
212	figurate	355	1.288	5	3	1.973
213	lector	1435	5.205	20	17	1.957
214	agnos	943	3.42	13	9	1.941
215	solido	365	1.324	5	3	1.932
216	termino	660	2.394	9	5	1.925
217	sequens	1845	6.692	25	20	1.916
218	pluralis	369	1.338	5	4	1.916
219	religio	3054	11.076	41	22	1.902
220	monumentum	1118	4.055	15	11	1.901
221	plerique	748	2.713	10	9	1.896
222	decalogus	377	1.367	5	4	1.885
223	breuitas	454	1.647	6	6	1.879
224	illuster	681	2.47	9	9	1.879
225	partio1	380	1.378	5	5	1.873
226	liber1	12354	44.806	162	39	1.868
227	comburo	614	2.227	8	6	1.859
228	insero1	1473	5.342	19	17	1.844
229	plures	2957	10.725	38	22	1.838
230	codex	2028	7.355	26	21	1.835
231	explecto	1331	4.827	17	17	1.83
232	euidenter	948	3.438	12	10	1.816
233	auctor	4106	14.892	51	38	1.789
234	principium	3225	11.697	40	27	1.787
235	demonstro	4132	14.986	51	37	1.78
236	carmen	1216	4.41	15	14	1.779
237	declaro	1798	6.521	22	17	1.767
238	en	491	1.781	6	5	1.765
239	10	2211	8.019	27	16	1.764
240	finis	10813	39.217	131	69	1.752
241	in	463796	1682.119	5543	485	1.732
242	diuinus1	20429	74.093	244	122	1.732
243	appello1	6044	21.921	72	33	1.728
244	collectio	423	1.534	5	5	1.716
245	condo	1272	4.613	15	14	1.713
246	16	1018	3.692	12	8	1.712
247	nusquam	679	2.463	8	7	1.712
248	reuoluo	427	1.549	5	5	1.703
249	agon	514	1.864	6	5	1.698
250	editio	686	2.488	8	7	1.697
251	octo1	1632	5.919	19	15	1.694
252	11	1487	5.393	17	14	1.668
253	7	2452	8.893	28	15	1.666
254	responsio	969	3.514	11	4	1.657
255	prudenter	530	1.922	6	5	1.653
256	5	3578	12.977	40	23	1.635
257	ethereus	449	1.629	5	1	1.629
258	coniugium	1348	4.889	15	7	1.628
259	doctor	5048	18.308	56	32	1.624
260	nouem	997	3.616	11	9	1.616
261	gentilis	2574	9.336	28	23	1.595
262	synodalis1	460	1.668	5	3	1.594
263	quot	1014	3.678	11	11	1.591
264	nuptie	1391	5.045	15	4	1.582
265	uersus2	2043	7.41	22	19	1.58
266	sententia	8224	29.827	87	49	1.554
267	duodecim	2409	8.737	25	19	1.527
268	initium	3538	12.832	36	27	1.498
269	egredior	3145	11.406	32	9	1.498
270	numero1	789	2.862	8	8	1.493
271	omitto	893	3.239	9	8	1.484
272	copiosus	696	2.524	7	5	1.481
273	propheta	14538	52.727	145	69	1.469
274	seruus2	9225	33.458	92	60	1.469
275	sacerdotalis	1507	5.466	15	11	1.466
276	contra2	15581	56.51	154	54	1.455
277	lex	23038	83.555	226	98	1.444
278	creber	619	2.245	6	5	1.427
279	ciuitas	12845	46.587	124	50	1.421
280	psalmus	6551	23.76	63	37	1.416
281	latinus	937	3.398	9	9	1.414
282	hymnus	1043	3.783	10	8	1.411
283	persus	526	1.908	5	5	1.399
284	aperte	2530	9.176	24	18	1.396
285	septem	4445	16.121	42	24	1.39
286	antiquus	4057	14.714	38	31	1.377
287	eruditio	536	1.944	5	5	1.371
288	cito2	539	1.955	5	4	1.363
289	diuisio	1294	4.693	12	7	1.363
290	tres	11031	40.008	102	61	1.358
291	-	356744	1293.858	3292	399	1.355
292	8	2494	9.045	23	15	1.355
293	20	764	2.771	7	5	1.345
294	epistola	8199	29.737	75	44	1.343
295	soluo	4073	14.772	37	29	1.333
296	legalis	771	2.796	7	6	1.332
297	supradictus	1329	4.82	12	11	1.324
298	apertus	1441	5.226	13	11	1.322
299	laqueus	1113	4.037	10	10	1.317
300	refero	6201	22.49	55	42	1.298
301	18	904	3.279	8	7	1.294
302	recondo	566	2.053	5	5	1.292
303	instrumentum	566	2.053	5	5	1.292
304	aduersus2	3751	13.604	33	25	1.286
305	testimonium	6030	21.87	53	38	1.285
306	obscurus	803	2.912	7	7	1.273
307	euangelicus	1607	5.828	14	12	1.272
308	duo	16653	60.398	145	78	1.271
309	edoceo	804	2.916	7	6	1.271
310	egregius	1265	4.588	11	11	1.269
311	sanctus2	10126	36.726	88	43	1.268
312	benedictus	2312	8.385	20	6	1.261
313	baptismum	3341	12.117	28	18	1.215
314	manifesto2	2626	9.524	22	10	1.215
315	insignis	836	3.032	7	6	1.214
316	nonnulli	2400	8.704	20	18	1.207
