No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Dice coefficient value
375	iustitia	11209	40.653	26	19	0.002
376	monumentum	1118	4.055	15	11	0.002
377	12	2009	7.286	16	14	0.002
378	carmen	1216	4.41	15	14	0.002
379	appendix	129	0.468	14	3	0.002
380	coniugium	1348	4.889	15	7	0.002
381	decem	3204	11.62	17	17	0.002
382	condo	1272	4.613	15	14	0.002
383	exaro	336	1.219	14	13	0.002
384	amen	3393	12.306	17	17	0.002
385	quando	13356	48.44	28	22	0.002
386	signaculum	465	1.687	14	13	0.002
387	penitentialis	200	0.725	15	5	0.002
388	nuptie	1391	5.045	15	4	0.002
389	iudeus	14110	51.175	29	24	0.002
390	ego	60664	220.019	82	58	0.002
391	sacerdotalis	1507	5.466	15	11	0.002
392	prouerbium	552	2.002	14	12	0.002
393	uterque	7941	28.801	21	17	0.002
394	assero1	2209	8.012	15	15	0.002
395	scilicet	11586	42.021	25	21	0.002
396	do	28094	101.893	43	35	0.002
397	proprius1	13802	50.058	27	24	0.002
398	hilariter	259	0.939	13	6	0.002
399	quantitas	786	2.851	14	10	0.002
400	dies	35444	128.55	51	33	0.002
401	quasi	19683	71.387	34	26	0.002
402	audio	20164	73.132	34	28	0.002
403	nomino	3089	11.203	16	15	0.002
404	laudo	4595	16.665	18	16	0.002
405	probo	4948	17.946	18	18	0.002
406	sensus	7122	25.83	20	19	0.002
407	celestis	9264	33.599	22	16	0.002
408	pontifex	6896	25.011	19	18	0.002
409	cur	3774	13.688	16	14	0.002
410	noto	2965	10.754	15	14	0.002
411	nunc	13926	50.508	27	22	0.002
412	euangelicus	1607	5.828	14	12	0.002
413	nos	57619	208.976	69	48	0.002
414	laus	6034	21.884	18	16	0.002
415	ero	26515	96.166	38	30	0.002
416	respondeo	7111	25.791	19	12	0.002
417	comprehendo	2619	9.499	15	14	0.002
418	se	80262	291.098	92	65	0.002
419	miracula	1918	6.956	14	9	0.002
420	terminus	2478	8.987	15	11	0.002
421	propter	17688	64.152	30	23	0.002
422	agnos	943	3.42	13	9	0.002
423	inde	7879	28.576	20	18	0.002
424	concilium	4771	17.304	16	13	0.002
425	iubeo	9352	33.918	21	19	0.002
426	nemo	6740	24.445	18	12	0.002
427	centum	1544	5.6	13	11	0.002
428	mysticus	2232	8.095	14	11	0.002
429	titulo	129	0.468	12	8	0.002
430	oratio	8345	30.266	20	15	0.002
431	agnellus	546	1.98	12	2	0.002
432	sancta	2441	8.853	14	12	0.002
433	iterum	6856	24.866	18	16	0.002
434	mysterium	5257	19.066	17	14	0.002
435	mille	3852	13.971	15	12	0.002
436	ecclesia	50122	181.785	60	43	0.002
437	affero	2110	7.653	14	8	0.002
438	precipuus	2237	8.113	14	13	0.002
439	tum	16556	60.046	28	23	0.002
440	exhibeo	3621	13.133	15	11	0.002
441	ars	2369	8.592	14	13	0.002
442	talis	14475	52.499	26	24	0.002
443	apertus	1441	5.226	13	11	0.002
444	postea	4899	17.768	16	14	0.002
445	ante2	12432	45.089	22	16	0.002
446	uoco	13140	47.657	23	17	0.002
447	alter	10468	37.966	21	20	0.002
448	studium	4111	14.91	15	13	0.002
449	supradictus	1329	4.82	12	11	0.002
450	corpus	25509	92.517	34	24	0.002
451	uenerabilis	4191	15.2	15	14	0.002
452	anima	20451	74.173	30	24	0.002
453	regula1	4311	15.635	15	12	0.002
454	debeo	23501	85.235	33	25	0.002
455	desum	2510	9.103	14	12	0.002
456	scientia	5333	19.342	16	15	0.002
457	diuisio	1294	4.693	12	7	0.002
458	euidenter	948	3.438	12	10	0.002
459	pre1	2138	7.754	13	7	0.002
460	bene	8253	29.932	19	15	0.002
461	certe	3334	12.092	14	12	0.002
462	martyr	7254	26.309	18	17	0.002
463	plaga1	1777	6.445	13	13	0.002
464	congrego	3349	12.146	14	14	0.002
465	pene	2894	10.496	14	13	0.002
466	16	1018	3.692	12	8	0.002
467	coniugalis1	214	0.776	11	2	0.002
468	assumo	4097	14.859	15	11	0.002
469	hermes	55	0.2	11	9	0.002
470	canticum	1965	7.127	13	10	0.002
471	opusculum	728	2.64	12	8	0.002
472	examplum	6710	24.336	17	13	0.002
473	capitulare	182	0.66	11	5	0.002
474	excerpo	167	0.606	11	9	0.002
475	an	4310	15.632	18	12	0.002
476	argentum	1871	6.786	13	9	0.002
477	iustus	15277	55.407	25	15	0.002
478	sigale	94	0.341	11	8	0.002
479	tu	47761	173.222	54	45	0.002
480	exeo	4226	15.327	15	12	0.002
481	septuaginta	1934	7.014	13	8	0.002
482	filius	50031	181.455	53	41	0.002
483	quisque	7232	26.229	17	16	0.002
484	interpres	619	2.245	11	10	0.002
485	dimitto	5627	20.408	15	13	0.002
486	faustus	220	0.798	11	8	0.002
487	sacerdos	12795	46.406	22	21	0.002
488	perhibeo	1634	5.926	12	8	0.002
489	frequenter	1528	5.542	12	11	0.002
490	responsio	969	3.514	11	4	0.002
491	offero	7405	26.857	17	16	0.002
492	superius	3237	11.74	13	12	0.002
493	intus1	1906	6.913	12	8	0.002
494	bibliotheca	458	1.661	11	9	0.002
495	tabernaculum	2916	10.576	13	6	0.002
496	posterus	1849	6.706	12	9	0.002
497	mors	17655	64.032	26	22	0.002
498	ne2	26592	96.445	33	28	0.002
499	ueritas	13939	50.555	22	16	0.002
500	reliquus	5021	18.21	15	12	0.002
501	premitto	1752	6.354	12	12	0.002
502	defero	2734	9.916	13	10	0.002
503	studeo	3844	13.942	14	13	0.002
