No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value
265	insero1	1473	5.342	19	17	1.83
266	plures	2957	10.725	38	22	1.825
267	codex	2028	7.355	26	21	1.822
268	explecto	1331	4.827	17	17	1.816
269	euidenter	948	3.438	12	10	1.803
270	auctor	4106	14.892	51	38	1.776
271	principium	3225	11.697	40	27	1.774
272	subdiaconus	405	1.469	5	3	1.767
273	demonstro	4132	14.986	51	37	1.767
274	carmen	1216	4.41	15	14	1.766
275	complecto	487	1.766	6	4	1.764
276	declaro	1798	6.521	22	17	1.754
277	en	491	1.781	6	5	1.752
278	10	2211	8.019	27	16	1.751
279	finis	10813	39.217	131	69	1.74
280	in	463796	1682.119	5543	485	1.72
281	diuinus1	20429	74.093	244	122	1.719
282	appello1	6044	21.921	72	33	1.716
283	collectio	423	1.534	5	5	1.704
284	condo	1272	4.613	15	14	1.701
285	16	1018	3.692	12	8	1.701
286	nusquam	679	2.463	8	7	1.7
287	reuoluo	427	1.549	5	5	1.691
288	relego2	428	1.552	5	5	1.688
289	agon	514	1.864	6	5	1.686
290	editio	686	2.488	8	7	1.685
291	octo1	1632	5.919	19	15	1.683
292	11	1487	5.393	17	14	1.656
293	7	2452	8.893	28	15	1.655
294	responsio	969	3.514	11	4	1.646
295	prudenter	530	1.922	6	5	1.642
296	5	3578	12.977	40	23	1.624
297	ethereus	449	1.629	5	1	1.618
298	coniugium	1348	4.889	15	7	1.617
299	doctor	5048	18.308	56	32	1.613
300	nouem	997	3.616	11	9	1.605
301	narratio	638	2.314	7	7	1.597
302	gentilis	2574	9.336	28	23	1.585
303	synodalis1	460	1.668	5	3	1.583
304	quot	1014	3.678	11	11	1.581
305	nuptie	1391	5.045	15	4	1.572
306	uersus2	2043	7.41	22	19	1.57
307	sententia	8224	29.827	87	49	1.544
308	duodecim	2409	8.737	25	19	1.517
309	scruto	677	2.455	7	7	1.511
310	initium	3538	12.832	36	27	1.488
311	egredior	3145	11.406	32	9	1.488
312	numero1	789	2.862	8	8	1.483
313	stilus	593	2.151	6	6	1.48
314	omitto	893	3.239	9	8	1.474
315	copiosus	696	2.524	7	5	1.471
316	uirginitas	798	2.894	8	5	1.467
317	propheta	14538	52.727	145	69	1.459
318	seruus2	9225	33.458	92	60	1.459
319	sacerdotalis	1507	5.466	15	11	1.456
320	contra2	15581	56.51	154	54	1.446
321	lex	23038	83.555	226	98	1.436
322	creber	619	2.245	6	5	1.418
323	ciuitas	12845	46.587	124	50	1.412
324	clemens	1039	3.768	10	9	1.408
325	psalmus	6551	23.76	63	37	1.407
326	latinus	937	3.398	9	9	1.405
327	hymnus	1043	3.783	10	8	1.402
328	persus	526	1.908	5	5	1.39
329	aperte	2530	9.176	24	18	1.387
330	septem	4445	16.121	42	24	1.381
331	euangelista	2646	9.597	25	19	1.381
332	antiquus	4057	14.714	38	31	1.369
333	eruditio	536	1.944	5	5	1.363
334	cito2	539	1.955	5	4	1.355
335	diuisio	1294	4.693	12	7	1.354
336	tres	11031	40.008	102	61	1.35
337	-	356744	1293.858	3292	399	1.347
338	8	2494	9.045	23	15	1.346
339	20	764	2.771	7	5	1.337
340	epistola	8199	29.737	75	44	1.335
341	soluo	4073	14.772	37	29	1.325
