No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
858	sanctum	6326	22.944	9	7
859	studio	1811	6.568	9	9
860	codice	545	1.977	9	8
861	Incarnatione	367	1.331	9	8
862	diaboli	2237	8.113	9	9
863	diuersorum	325	1.179	9	8
864	ego	14898	54.033	9	9
865	Actorum	37	0.134	9	3
866	factum	5854	21.232	9	9
867	Boetii	28	0.102	9	6
868	Postquam	3897	14.134	9	9
869	scriptores	204	0.74	9	7
870	sine	17552	63.659	9	8
871	templi	1758	6.376	9	3
872	fit	3967	14.388	9	9
873	uelut	3406	12.353	9	9
874	ueritate	2803	10.166	9	6
875	prophetici	34	0.123	9	9
876	memoriam	1907	6.916	9	8
877	sensum	2402	8.712	9	9
878	nequaquam	3283	11.907	9	9
879	significat	4964	18.004	9	7
880	Carolum	674	2.445	9	7
881	celi	3203	11.617	9	8
882	egreditur	297	1.077	9	4
883	antiquorum	381	1.382	9	9
884	gentes	4142	15.022	9	3
885	uestimenta	984	3.569	8	8
886	principium	1288	4.671	8	7
887	Xuiii	904	3.279	8	7
888	ordine	3156	11.446	8	8
889	lapsis	111	0.403	8	6
890	doctoris	397	1.44	8	6
891	facta	6440	23.357	8	8
892	forte	6594	23.916	8	7
893	Hebraicarum	19	0.069	8	5
894	penitus	2589	9.39	8	8
895	postmodum	1759	6.38	8	7
896	series	244	0.885	8	8
897	indicat	602	2.183	8	8
898	constituit	1560	5.658	8	8
899	cuncta	3543	12.85	8	8
900	Isaias	1093	3.964	8	4
901	Laude	1094	3.968	8	8
902	Magna	4439	16.1	8	7
903	Areopagite	48	0.174	8	3
904	habens	2084	7.558	8	8
905	presbyter	2311	8.382	8	7
906	recte	5301	19.226	8	6
907	scire	1876	6.804	8	8
908	nonnulla	468	1.697	8	6
909	opera	6363	23.078	8	6
910	superiore	177	0.642	8	7
911	tanquam	5523	20.031	8	7
912	patres	2405	8.723	8	8
913	Cypriani	124	0.45	8	6
914	lector	723	2.622	8	7
915	expositum	117	0.424	8	8
916	habeat	3077	11.16	8	7
917	uidisse	415	1.505	8	8
918	Saluatoris	2546	9.234	8	6
919	secularium	450	1.632	8	7
920	nimirum	2607	9.455	8	8
921	singuli	786	2.851	8	4
922	nusquam	677	2.455	8	7
923	officiis	615	2.231	8	8
924	Pastoris	513	1.861	8	7
925	capp	76	0.276	8	4
926	Hymnorum	56	0.203	8	7
927	confecit	73	0.265	8	4
928	integrum	738	2.677	8	7
929	lapsi	132	0.479	8	2
930	legatur	363	1.317	8	8
931	apertius	440	1.596	8	8
932	gestarum	148	0.537	8	3
933	tot	1684	6.108	8	6
934	plagas	322	1.168	8	8
935	Pluribus	821	2.978	8	8
936	Xxu	423	1.534	8	4
937	mystica	399	1.447	8	5
938	pars	2809	10.188	8	8
939	celum	3831	13.895	8	7
940	institutione	222	0.805	8	6
941	deleri	67	0.243	8	7
942	Legant	91	0.33	8	6
943	diuinarum	585	2.122	8	7
944	epistolam	1288	4.671	8	7
945	Exstant	172	0.624	8	8
