No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Z-score value
227	bibliotheca	458	1.661	11	9	6.858
228	agnellus	546	1.98	12	2	6.765
229	refero	6201	22.49	55	42	6.75
230	codex	2028	7.355	26	21	6.69
231	breuiter	1231	4.465	19	16	6.642
232	heresis	1462	5.303	21	12	6.6
233	testimonium	6030	21.87	53	38	6.55
234	10	2211	8.019	27	16	6.526
235	ita	28529	103.471	170	87	6.491
236	iste2	20938	75.939	133	81	6.491
237	prefixus	279	1.012	8	7	6.45
238	hic3	167450	607.316	764	237	6.338
239	initium	3538	12.832	36	27	6.328
240	septem	4445	16.121	42	24	6.321
241	quantitas	786	2.851	14	10	6.307
242	lector	1435	5.205	20	17	6.266
243	sermo	9216	33.425	70	41	6.24
244	7	2452	8.893	28	15	6.24
245	inuenio	15419	55.922	103	76	6.229
246	egredior	3145	11.406	32	9	5.95
247	gentilis	2574	9.336	28	23	5.945
248	antiquus	4057	14.714	38	31	5.94
249	declaro	1798	6.521	22	17	5.866
250	22	483	1.752	10	9	5.854
251	partim	888	3.221	14	11	5.728
252	insero1	1473	5.342	19	17	5.693
253	aliquot	502	1.821	10	8	5.691
254	soluo	4073	14.772	37	29	5.653
255	interpres	619	2.245	11	10	5.509
256	opusculum	728	2.64	12	8	5.452
257	29	358	1.298	8	7	5.442
258	scriptura	9540	34.6	67	43	5.423
259	(	30251	109.716	167	72	5.421
260	manicheius	282	1.023	7	6	5.416
261	arrianus	538	1.951	10	5	5.404
262	dissero2	448	1.625	9	7	5.394
263	edissero	150	0.544	5	5	5.363
264	sacramentum	5790	21	46	31	5.347
265	duodecim	2409	8.737	25	19	5.333
266	sufficienter	369	1.338	8	8	5.326
267	explecto	1331	4.827	17	17	5.313
268	christiana	300	1.088	7	5	5.188
269	monumentum	1118	4.055	15	11	5.187
270	peritus	383	1.389	8	8	5.185
271	uersus2	2043	7.41	22	19	5.176
272	octo1	1632	5.919	19	15	5.171
273	aduersus2	3751	13.604	33	25	5.123
274	sacer	11163	40.487	73	56	5.031
275	scottus	314	1.139	7	3	5.024
276	agnos	943	3.42	13	9	4.91
277	33	246	0.892	6	2	4.878
278	hinc	7125	25.841	51	29	4.851
279	adnoto	420	1.523	8	8	4.843
280	25	423	1.534	8	4	4.817
281	euangelista	2646	9.597	25	19	4.811
282	carmen	1216	4.41	15	14	4.804
283	11	1487	5.393	17	14	4.783
284	aperte	2530	9.176	24	18	4.729
285	unde	25621	92.924	139	69	4.728
286	eruditus1	644	2.336	10	9	4.688
287	sedecim	187	0.678	5	3	4.641
288	textus	353	1.28	7	5	4.613
289	prenoto	189	0.686	5	5	4.607
290	condo	1272	4.613	15	14	4.603
291	elogium	190	0.689	5	5	4.591
292	hamus	357	1.295	7	5	4.574
293	folium	564	2.046	9	8	4.513
294	indo	275	0.997	6	5	4.509
295	8	2494	9.045	23	15	4.474
296	baptismum	3341	12.117	28	18	4.419
297	euidenter	948	3.438	12	10	4.348
298	coniugium	1348	4.889	15	7	4.347
299	octoginta	384	1.393	7	7	4.328
300	theologia	298	1.081	6	3	4.251
301	nuptie	1391	5.045	15	4	4.21
302	iste1	2466	8.944	22	15	4.199
303	philosophus1	217	0.787	5	5	4.185
304	mortuus	6656	24.14	45	30	4.144
305	canonica1	512	1.857	8	6	4.141
306	plerique	748	2.713	10	9	4.121
307	collatio	313	1.135	6	5	4.097
308	16	1018	3.692	12	8	4.063
309	canon	4285	15.541	32	24	4.048
310	nomen	25313	91.807	131	87	4.038
311	uocatus	768	2.785	10	7	4.023
312	termino	660	2.394	9	5	3.947
313	psalterium	548	1.988	8	8	3.91
314	manifesto2	2626	9.524	22	10	3.881
315	sacerdotalis	1507	5.466	15	11	3.864
316	finio	2137	7.751	19	17	3.861
317	benedictus	2312	8.385	20	6	3.838
318	illuster	681	2.47	9	9	3.837
319	recenseo	341	1.237	6	5	3.833
320	repetitio	249	0.903	5	4	3.785
321	primum	5850	21.217	39	30	3.752
322	expando2	351	1.273	6	3	3.746
323	historicus1	253	0.918	5	5	3.74
324	responsio	969	3.514	11	4	3.726
325	diligenter	2553	9.259	21	19	3.694
326	penuria	258	0.936	5	4	3.685
327	uulgo2	258	0.936	5	4	3.685
328	32	260	0.943	5	3	3.663
329	nonnulli	2400	8.704	20	18	3.659
330	multoties	261	0.947	5	3	3.652
331	nouem	997	3.616	11	9	3.62
332	satis	3302	11.976	25	19	3.619
333	pando1	479	1.737	7	6	3.613
334	inuentio	266	0.965	5	5	3.599
335	colligo2	3327	12.067	25	22	3.579
336	christianus1	5821	21.112	38	33	3.567
337	quot	1014	3.678	11	11	3.558
338	comburo	614	2.227	8	6	3.534
339	legens	492	1.784	7	7	3.53
340	quattuordecim	277	1.005	5	4	3.487
341	aduersus3	2204	7.994	18	4	3.362
342	flagito	402	1.458	6	5	3.347
343	quotienscumque	293	1.063	5	5	3.334
344	impono	2579	9.354	20	10	3.318
345	diuersus	6111	22.164	38	33	3.258
346	anterior	306	1.11	5	5	3.218
347	nusquam	679	2.463	8	7	3.21
348	apertus	1441	5.226	13	11	3.182
349	euangelicus	1607	5.828	14	12	3.178
350	editio	686	2.488	8	7	3.177
351	diuisio	1294	4.693	12	7	3.142
352	relego1	443	1.607	6	6	3.072
353	12	2009	7.286	16	14	3.043
354	supradictus	1329	4.82	12	11	3.043
355	breuitas	454	1.647	6	6	3.003
356	manifestus	4330	15.704	28	23	2.977
357	clemens	1039	3.768	10	9	2.953
358	hymnus	1043	3.783	10	8	2.94
359	omitto	893	3.239	9	8	2.923
360	contemptor	343	1.244	5	2	2.919
361	centum	1544	5.6	13	11	2.916
362	papa	6029	21.866	36	28	2.916
363	nouus	9489	34.415	52	38	2.912
364	quidam	24360	88.35	116	78	2.888
365	paucus	3823	13.866	25	17	2.856
366	integer	2659	9.644	19	17	2.852
367	figurate	355	1.288	5	3	2.831
368	constitutio	1241	4.501	11	9	2.828
369	complecto	487	1.766	6	4	2.809
370	en	491	1.781	6	5	2.787
371	latinus	937	3.398	9	9	2.767
372	solido	365	1.324	5	3	2.761
373	egregius	1265	4.588	11	11	2.76
