No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	T-score value
329	clausula	78	0.283	5	5	2.11
330	diuisio	1294	4.693	12	7	2.109
331	predictus	5771	20.931	33	26	2.101
332	33	246	0.892	6	2	2.085
333	aris	100	0.363	5	5	2.074
334	supradictus	1329	4.82	12	11	2.073
335	centum	1544	5.6	13	11	2.052
336	plurimus	4294	15.574	26	24	2.045
337	indo	275	0.997	6	5	2.042
338	comburo	614	2.227	8	6	2.041
339	theologia	298	1.081	6	3	2.008
340	edissero	150	0.544	5	5	1.993
341	pando1	479	1.737	7	6	1.989
342	collatio	313	1.135	6	5	1.986
343	legens	492	1.784	7	7	1.971
344	clemens	1039	3.768	10	9	1.971
345	hymnus	1043	3.783	10	8	1.966
346	constitutio	1241	4.501	11	9	1.96
347	nusquam	679	2.463	8	7	1.958
348	editio	686	2.488	8	7	1.949
349	recenseo	341	1.237	6	5	1.945
350	hic1	15083	54.704	71	48	1.934
351	egregius	1265	4.588	11	11	1.933
352	sedecim	187	0.678	5	3	1.933
353	ostendo	14357	52.071	68	39	1.932
354	expando2	351	1.273	6	3	1.93
355	prenoto	189	0.686	5	5	1.93
356	elogium	190	0.689	5	5	1.928
357	omitto	893	3.239	9	8	1.92
358	uis	7470	27.093	39	20	1.907
359	laqueus	1113	4.037	10	10	1.886
360	profero	4745	17.209	27	23	1.884
361	philosophus1	217	0.787	5	5	1.884
362	miracula	1918	6.956	14	9	1.883
363	15	1323	4.798	11	8	1.87
364	latinus	937	3.398	9	9	1.867
365	frequenter	1528	5.542	12	11	1.864
366	confessio	3889	14.105	23	15	1.855
367	flagito	402	1.458	6	5	1.854
368	repetitio	249	0.903	5	4	1.832
369	historicus1	253	0.918	5	5	1.826
370	sequor	15585	56.525	72	48	1.824
371	plaga1	1777	6.445	13	13	1.818
372	penuria	258	0.936	5	4	1.818
373	uulgo2	258	0.936	5	4	1.818
374	numero1	789	2.862	8	8	1.817
375	32	260	0.943	5	3	1.814
376	multoties	261	0.947	5	3	1.813
377	uirginitas	798	2.894	8	5	1.805
378	inuentio	266	0.965	5	5	1.805
379	assero1	2209	8.012	15	15	1.804
380	relego1	443	1.607	6	6	1.794
381	quattuordecim	277	1.005	5	4	1.787
382	breuitas	454	1.647	6	6	1.777
383	narratio	638	2.314	7	7	1.771
384	inchoo	1018	3.692	9	8	1.769
385	quotienscumque	293	1.063	5	5	1.761
386	perhibeo	1634	5.926	12	8	1.753
387	uerbum	27300	99.013	118	71	1.748
388	anterior	306	1.11	5	5	1.74
389	complecto	487	1.766	6	4	1.728
390	argentum	1871	6.786	13	9	1.724
391	en	491	1.781	6	5	1.722
392	scruto	677	2.455	7	7	1.718
393	affero	2110	7.653	14	8	1.696
394	copiosus	696	2.524	7	5	1.692
395	agon	514	1.864	6	5	1.688
396	contemptor	343	1.244	5	2	1.68
397	catholicus	5746	20.84	30	19	1.672
398	18	904	3.279	8	7	1.669
399	prudenter	530	1.922	6	5	1.665
400	figurate	355	1.288	5	3	1.66
401	septuaginta	1934	7.014	13	8	1.66
402	similiter	5771	20.931	30	25	1.656
403	mendacium	1737	6.3	12	10	1.646
404	origo	1323	4.798	10	10	1.645
405	solido	365	1.324	5	3	1.644
406	comprobo	1126	4.084	9	9	1.639
407	pluralis	369	1.338	5	4	1.638
408	premitto	1752	6.354	12	12	1.63
409	canticum	1965	7.127	13	10	1.629
410	decalogus	377	1.367	5	4	1.625
411	partio1	380	1.378	5	5	1.62
412	26	385	1.396	5	4	1.612
413	doctrina	7028	25.49	35	28	1.608
414	debitum	1358	4.925	10	6	1.605
415	20	764	2.771	7	5	1.598
416	legalis	771	2.796	7	6	1.589
417	subdiaconus	405	1.469	5	3	1.579
418	mysticus	2232	8.095	14	11	1.578
419	qui2	510903	1852.969	1922	391	1.575
420	precipuus	2237	8.113	14	13	1.573
421	stilus	593	2.151	6	6	1.571
422	tronus	1193	4.327	9	9	1.558
423	terminus	2478	8.987	15	11	1.552
424	collectio	423	1.534	5	5	1.55
425	obscurus	803	2.912	7	7	1.545
426	edoceo	804	2.916	7	6	1.544
427	reuoluo	427	1.549	5	5	1.543
428	relego2	428	1.552	5	5	1.542
429	pagina	1627	5.901	11	10	1.537
430	octauum2	1007	3.652	8	8	1.537
431	creber	619	2.245	6	5	1.533
432	posterus	1849	6.706	12	9	1.528
433	scriptum	1427	5.176	10	10	1.526
434	denique	3179	11.53	18	17	1.525
435	concludo	1222	4.432	9	7	1.523
436	maxime	3871	14.04	21	20	1.519
437	preterea	1228	4.454	9	8	1.515
438	ethereus	449	1.629	5	1	1.508
439	multiplex	1235	4.479	9	9	1.507
440	insignis	836	3.032	7	6	1.5
441	translatio	840	3.047	7	6	1.494
442	synodalis1	460	1.668	5	3	1.49
443	tabula	1046	3.794	8	7	1.487
444	paganus	1472	5.339	10	9	1.474
445	intus1	1906	6.913	12	8	1.469
446	quadraginta	1702	6.173	11	9	1.455
447	pre1	2138	7.754	13	7	1.455
448	singulus	7284	26.418	35	21	1.451
449	ars	2369	8.592	14	13	1.445
450	sumo	4460	16.176	23	19	1.423
451	comprehendo	2619	9.499	15	14	1.42
452	ubi	18833	68.305	81	62	1.411
453	marca2	1320	4.787	9	8	1.404
454	bellum	3563	12.923	19	15	1.394
455	--	164067	595.047	630	214	1.393
456	persus	526	1.908	5	5	1.383
457	sancta	2441	8.853	14	12	1.376
458	plus2	927	3.362	7	7	1.375
459	latus1	1346	4.882	9	9	1.373
460	claudo	1350	4.896	9	8	1.368
461	eruditio	536	1.944	5	5	1.367
462	cito2	539	1.955	5	4	1.362
463	triginta	1575	5.712	10	10	1.356
464	documentum	740	2.684	6	6	1.354
465	instrumentum	566	2.053	5	5	1.318
466	recondo	566	2.053	5	5	1.318
467	prescientia	969	3.514	7	5	1.317
468	nepos	973	3.529	7	5	1.312
469	desum	2510	9.103	14	12	1.309
470	supra2	3902	14.152	20	14	1.308
471	synodus1	5574	20.216	27	11	1.306
472	decem	3204	11.62	17	17	1.305
473	multus	21416	77.673	90	63	1.299
474	nempe	785	2.847	6	6	1.287
475	condio	1216	4.41	8	8	1.269
476	libellus	1438	5.215	9	9	1.262
477	conficio	1462	5.303	9	8	1.233
478	dispositio	1251	4.537	8	4	1.224
479	nomino	3089	11.203	16	15	1.199
480	ornamentum	854	3.097	6	5	1.185
481	censeo	1504	5.455	9	7	1.182
482	officium	6002	21.768	28	22	1.178
483	typus	863	3.13	6	6	1.172
484	thesaurus	1965	7.127	11	8	1.168
485	quinquaginta	873	3.166	6	6	1.157
486	9	1756	6.369	10	10	1.148
487	subsequor	1534	5.564	9	8	1.145
488	amen	3393	12.306	17	17	1.138
489	approbo	1107	4.015	7	7	1.128
490	denarius2	900	3.264	6	4	1.117
491	notitia	1560	5.658	9	8	1.114
492	discutio	1125	4.08	7	6	1.104
493	siue	22976	83.331	94	62	1.1
494	noto	2965	10.754	15	14	1.096
495	orthodoxus	915	3.319	6	5	1.095
496	perspicio	704	2.553	5	4	1.094
497	solidus2	706	2.561	5	5	1.091
498	aduocatus	710	2.575	5	3	1.084
499	studiosus1	922	3.344	6	6	1.084
500	recito	711	2.579	5	5	1.083
501	reuera	711	2.579	5	5	1.083
502	pono	17333	62.864	72	44	1.077
503	uestimentum	2281	8.273	12	11	1.076
504	charta	720	2.611	5	4	1.068
505	uocatio	938	3.402	6	3	1.061
506	grece	1158	4.2	7	5	1.058
507	adicio	1383	5.016	8	6	1.055
508	prout	1383	5.016	8	8	1.055
509	oraculum	731	2.651	5	5	1.05
510	excedo	947	3.435	6	6	1.047
511	tracto	1848	6.702	10	6	1.043
512	differentia	1173	4.254	7	7	1.038
513	liber2	4479	16.245	21	12	1.038
514	indicium	1176	4.265	7	7	1.034
515	sepe	5477	19.864	25	18	1.027
516	mirabilis	1182	4.287	7	6	1.025
517	indico1	2105	7.635	11	11	1.015
518	ultimus	1647	5.973	9	6	1.009
519	edificatio	764	2.771	5	1	0.997
520	disco	4055	14.707	19	19	0.985
521	adiutorium	1440	5.223	8	7	0.982
522	porrigo1	778	2.822	5	5	0.974
523	memoria	4810	17.445	22	21	0.971
524	transmitto	1001	3.631	6	6	0.967
525	testa	1003	3.638	6	5	0.964
526	deuoro	1004	3.641	6	5	0.963
527	custos	1686	6.115	9	3	0.962
528	sacro	789	2.862	5	5	0.956
529	recipio	7846	28.456	34	28	0.951
530	ianuarius	796	2.887	5	4	0.945
531	floreo	1019	3.696	6	6	0.941
532	pene	2894	10.496	14	13	0.936
533	regnum	16889	61.254	69	39	0.933
534	emendo	1716	6.224	9	8	0.925
535	industria	821	2.978	5	5	0.904
536	computo	842	3.054	5	5	0.87
537	defero	2734	9.916	13	10	0.855
538	incarnatio	2283	8.28	11	10	0.82
539	monachus	5525	20.038	24	16	0.809
540	propono	2062	7.479	10	7	0.797
541	ceterus	13284	48.179	54	40	0.792
542	ceterum	1120	4.062	6	6	0.791
543	uas2	2311	8.382	11	10	0.789
544	ubicumque	895	3.246	5	5	0.784
545	episcopalis	1126	4.084	6	5	0.782
546	saltem	1600	5.803	8	8	0.777
547	ingenium	1372	4.976	7	5	0.765
548	pronuntio	1150	4.171	6	6	0.747
549	cano	1386	5.027	7	7	0.746
550	aptus	1413	5.125	7	7	0.709
551	reseruo	1179	4.276	6	6	0.704
552	colloco	1182	4.287	6	4	0.699
553	consolatio	1431	5.19	7	6	0.684
554	tantum	9319	33.799	38	25	0.682
555	secularis1	2410	8.741	11	10	0.681
556	uanitas	959	3.478	5	4	0.681
557	tabernaculum	2916	10.576	13	6	0.672
558	tot	1684	6.108	8	6	0.669
559	episcopatus	1692	6.137	8	7	0.659
560	materia1	1460	5.295	7	5	0.644
561	magnitudo	1705	6.184	8	7	0.642
562	exprimo	2201	7.983	10	8	0.638
563	transfero	2451	8.889	11	10	0.636
564	paruulus2	990	3.591	5	5	0.63
565	fere	991	3.594	5	5	0.629
566	preter	2710	9.829	12	12	0.627
567	haud	998	3.62	5	5	0.617
568	expedio	1001	3.631	5	5	0.612
569	pulcher	1486	5.39	7	7	0.609
570	necnon	1487	5.393	7	7	0.607
571	accipio	20568	74.597	80	40	0.604
572	cur	3774	13.688	16	14	0.578
573	queo	1026	3.721	5	4	0.572
574	arbitrium	2270	8.233	10	9	0.559
575	an	4310	15.632	18	12	0.558
576	dextera	3030	10.989	13	6	0.558
577	quippe	7694	27.905	31	21	0.556
578	littera	7696	27.912	31	28	0.555
579	postmodo	1777	6.445	8	7	0.55
580	rite	1043	3.783	5	4	0.544
581	medicus2	1043	3.783	5	5	0.544
582	breuis1	1545	5.604	7	7	0.528
583	certe	3334	12.092	14	12	0.51
584	sedeo	5409	19.618	22	15	0.508
585	congruo	1071	3.884	5	5	0.499
586	congrego	3349	12.146	14	14	0.495
587	lucus1	1321	4.791	6	4	0.494
588	exhibeo	3621	13.133	15	11	0.482
589	columna	1084	3.932	5	4	0.478
590	dico3	128642	466.566	477	142	0.478
591	quodammodo	1085	3.935	5	4	0.476
592	conditor	1584	5.745	7	7	0.474
593	hactenus	1334	4.838	6	6	0.474
594	exilium	1097	3.979	5	4	0.457
595	difficilis	1097	3.979	5	5	0.457
596	augeo	1598	5.796	7	6	0.455
597	decurro	1098	3.982	5	5	0.455
598	uarius1	2638	9.568	11	11	0.432
599	uenerandus	1363	4.943	6	5	0.431
600	paradisus	1879	6.815	8	4	0.419
601	porro	2399	8.701	10	9	0.411
602	utilis	1632	5.919	7	7	0.409
603	spiro	1127	4.088	5	5	0.408
604	felix	2663	9.658	11	9	0.405
605	dogma	1640	5.948	7	6	0.398
606	etiam	39518	143.326	148	95	0.384
607	argumentum	1407	5.103	6	6	0.366
608	canonicus1	1154	4.185	5	4	0.364
609	proinde	1159	4.204	5	5	0.356
610	superius	3237	11.74	13	12	0.349
611	solummodo	1434	5.201	6	5	0.326
612	hereo	1183	4.291	5	5	0.317
613	laudo	4595	16.665	18	16	0.315
614	principatus	1194	4.331	5	2	0.299
615	lateo	1456	5.281	6	6	0.294
616	medium	1199	4.349	5	5	0.291
617	propheto	1207	4.378	5	5	0.278
618	mille	3852	13.971	15	12	0.266
619	congruus	1478	5.361	6	6	0.261
620	subiungo	2534	9.19	10	9	0.256
621	arbitror	1750	6.347	7	7	0.247
622	exinde	1244	4.512	5	5	0.218
623	undique	1251	4.537	5	4	0.207
624	uix	1790	6.492	7	7	0.192
625	ordo	10155	36.831	38	29	0.19
626	sex	2330	8.451	9	6	0.183
627	aio	18645	67.623	69	41	0.166
628	perfectio	2371	8.599	9	7	0.134
629	desidero	3198	11.599	12	11	0.116
630	disciplina	2928	10.619	11	10	0.115
631	condicio	1847	6.699	7	7	0.114
632	nitor1	1313	4.762	5	5	0.106
633	repeto	1585	5.749	6	6	0.103
634	tego	1320	4.787	5	5	0.095
635	sensum	2419	8.773	9	9	0.076
636	occurro	2152	7.805	8	7	0.069
637	recedo	3535	12.821	13	12	0.05
638	orno	1621	5.879	6	6	0.049
639	assumo	4097	14.859	15	11	0.036
640	studium	4111	14.91	15	13	0.023
641	abscondo	2190	7.943	8	8	0.02
642	continuo1	1367	4.958	5	4	0.019
643	studeo	3844	13.942	14	13	0.016
644	probo	4948	17.946	18	18	0.013
645	consto	3616	13.115	13	13	-0.032
646	uestis	2231	8.092	8	7	-0.032
647	excipio	1684	6.108	6	6	-0.044
648	retineo	2244	8.139	8	8	-0.049
649	uenerabilis	4191	15.2	15	14	-0.052
650	monstro	2257	8.186	8	7	-0.066
651	securus	1425	5.168	5	5	-0.075
652	exeo	4226	15.327	15	12	-0.084
653	nuncupo	1437	5.212	5	4	-0.095
654	presens	10088	36.588	36	19	-0.098
655	consedeo	1723	6.249	6	5	-0.102
656	indigeo	1443	5.234	5	5	-0.104
657	antea	1450	5.259	5	5	-0.116
658	insinuo	1739	6.307	6	6	-0.125
659	utor	3164	11.475	11	10	-0.143
660	compleo	2602	9.437	9	9	-0.146
